Date,U1.25.T.50.WIN.25.11.daily_ret,U2.base.algo.A.daily_ret,SPX.dailyRet,longHT_shortLT
5/18/2015,0.002493318,-0.001406209,0.003105217,-0.003899527
5/19/2015,-0.002701405,-0.001267427,-0.000442957,0.001433978
5/20/2015,0.00094559,0.001113185,-0.000822634,0.000167595
5/21/2015,0.003161365,0.000981609,0.002477582,-0.002179756
5/22/2015,-0.001715918,-0.001468491,-0.002222279,0.000247427
5/26/2015,-0.011984782,-0.007776027,-0.010264617,0.004208755
5/27/2015,0.010079183,0.006800586,0.009328301,-0.003278597
5/28/2015,0.000495126,0.000229855,-0.001094357,-0.000265271
5/29/2015,-0.007931323,-0.006705977,-0.006292424,0.001225346
6/1/2015,-0.000215827,0.004090886,0.002161298,0.004306713
6/2/2015,-0.001077024,-0.004892432,-0.000959075,-0.003815408
6/3/2015,0.003163721,-0.004046445,0.002305017,-0.007210166
6/4/2015,-0.010397383,-0.005274769,-0.008604728,0.005122614
6/5/2015,-0.000848435,-0.010056639,-0.001394905,-0.009208204
6/8/2015,-0.004943055,-0.003555052,-0.006306537,0.001388003
6/9/2015,-0.0005498,-0.001883035,0.000445144,-0.001333235
6/10/2015,0.012469853,0.010369087,0.012109826,-0.002100766
6/11/2015,0.004390217,0.003996116,0.002028434,-0.000394101
6/12/2015,-0.004461023,-0.004254412,-0.006935055,0.000206611
6/15/2015,-0.007453812,-0.004130546,-0.004601401,0.003323266
6/16/2015,0.007455966,0.0052818,0.005705016,-0.002174166
6/17/2015,0.00101022,0.006921276,0.00200272,0.005911056
6/18/2015,0.000944839,0.008986395,0.010029646,0.008041556
6/19/2015,-0.001886369,-0.004205519,-0.005301637,-0.00231915
6/22/2015,0.009007855,0.001320217,0.006093872,-0.007687638
6/23/2015,0.004946129,0.002405135,0.000718579,-0.002540994
6/24/2015,-0.007218159,-0.001622571,-0.007323228,0.005595588
6/25/2015,-0.005806437,-0.004607988,-0.002931919,0.001198449
6/26/2015,0.003527958,0.004601327,-0.00021353,0.001073369
6/29/2015,-0.023350175,-0.015240709,-0.020768306,0.008109466
6/30/2015,0.003902496,-0.000423567,0.002719748,-0.004326063
7/1/2015,-0.002918393,0.003067241,0.007183196,0.005985634
7/2/2015,-0.003975921,0.003356712,-0.000312235,0.007332633
7/6/2015,-0.004877802,-0.006526577,-0.003828675,-0.001648775
7/7/2015,0.008710109,0.014252223,0.006090376,0.005542114
7/8/2015,-0.024648692,-0.012671132,-0.016358235,0.01197756
7/9/2015,0.003496432,-0.001422507,0.002267885,-0.004918939
7/10/2015,0.011669968,0.005865662,0.012338459,-0.005804306
7/13/2015,0.012087562,0.00775272,0.011155057,-0.004334842
7/14/2015,0.004951647,0.002752124,0.004462206,-0.002199523
7/15/2015,-0.002156109,-0.005872092,-0.000719902,-0.003715983
7/16/2015,0.003939592,0.002286913,0.008037431,-0.001652679
7/17/2015,0.003729284,-0.008909227,0.001111436,-0.012638511
7/20/2015,-0.000525245,-0.003425827,0.000795179,-0.002900582
7/21/2015,-0.006497808,-0.005264656,-0.004226586,0.001233152
7/22/2015,-0.00301212,-0.00141756,-0.002281592,0.00159456
7/23/2015,-0.006598115,-0.00794574,-0.005610987,-0.001347625
7/24/2015,-0.011797419,-0.013341229,-0.010699447,-0.00154381
7/27/2015,-0.011266802,-0.000401132,-0.005771204,0.01086567
7/28/2015,0.006478193,0.018048653,0.012393121,0.01157046
7/29/2015,0.014814139,0.006204111,0.00744187,-0.008610028
7/30/2015,0.004380828,0.002753073,0.000110138,-0.001627755
7/31/2015,-0.00362493,-0.003462708,-0.002263973,0.000162222
8/3/2015,-0.003428969,-0.00805589,-0.002754248,-0.004626921
8/4/2015,-0.002639206,-0.005803178,-0.002221324,-0.003163972
8/5/2015,-0.002090692,0.00283001,0.003495475,0.004920702
8/6/2015,-0.005397746,-0.009252418,-0.007473027,-0.003854672
8/7/2015,-0.000545297,-0.001344804,-0.002838702,-0.000799507
8/10/2015,0.014822094,0.011442139,0.012831302,-0.003379955
8/11/2015,-0.008632065,-0.006053087,-0.009373333,0.002578978
8/12/2015,-0.000792004,0.005619788,0.001180488,0.006411792
8/13/2015,-0.001466372,-0.004540517,-0.00112221,-0.003074145
8/14/2015,0.005417965,0.0017035,0.003916615,-0.003714465
8/17/2015,0.0046657,0.005166617,0.005399468,0.000500917
8/18/2015,0.000165634,-0.003770767,-0.00243646,-0.003936401
8/19/2015,-0.011137096,-0.005251084,-0.008191074,0.005886012
8/20/2015,-0.023664418,-0.017520923,-0.021095253,0.006143495
8/21/2015,-0.0272129,-0.01851832,-0.031694542,0.00869458
8/24/2015,-0.042924732,-0.043635313,-0.039385561,-0.000710581
