Date,U1.25.T.50.WIN.25.11.daily_ret,U2.base.algo.A.daily_ret,SPX.dailyRet
2015-06-11,0.004390217,0.003996116,0.002028434
2015-06-12,-0.004461023,-0.004254412,-0.006935055
2015-06-15,-0.007453812,-0.004130546,-0.004601401
2015-06-16,0.007455966,0.0052818,0.005705016
2015-06-17,0.00101022,0.006921276,0.00200272
2015-06-18,0.000944839,0.008986395,0.010029646
2015-06-19,-0.001886369,-0.004205519,-0.005301637
2015-06-22,0.009007855,0.001320217,0.006093872
2015-06-23,0.004946129,0.002405135,0.000718579
2015-06-24,-0.007218159,-0.001622571,-0.007323228
2015-06-25,-0.005806437,-0.004607988,-0.002931919
2015-06-26,0.003527958,0.004601327,-0.00021353
2015-06-29,-0.023350175,-0.015240709,-0.020768306
2015-06-30,0.003902496,-0.000423567,0.002719748
2015-07-01,-0.002918393,0.003067241,0.007183196
2015-07-02,-0.003975921,0.003356712,-0.000312235
2015-07-06,-0.004877802,-0.006526577,-0.003828675
2015-07-07,0.008710109,0.014252223,0.006090376
2015-07-08,-0.024648692,-0.012671132,-0.016358235
2015-07-09,0.003496432,-0.001422507,0.002267885
2015-07-10,0.011669968,0.005865662,0.012338459
2015-07-13,0.012087562,0.00775272,0.011155057
2015-07-14,0.004951647,0.002752124,0.004462206
2015-07-15,-0.002156109,-0.005872092,-0.000719902
2015-07-16,0.003939592,0.002286913,0.008037431
2015-07-17,0.003729284,-0.008909227,0.001111436
2015-07-20,-0.000525245,-0.003425827,0.000795179
2015-07-21,-0.006497808,-0.005264656,-0.004226586
2015-07-22,-0.00301212,-0.00141756,-0.002281592
2015-07-23,-0.006598115,-0.00794574,-0.005610987
2015-07-24,-0.011797419,-0.013341229,-0.010699447
2015-07-27,-0.011266802,-0.000401132,-0.005771204
2015-07-28,0.006478193,0.018048653,0.012393121
2015-07-29,0.014814139,0.006204111,0.00744187
2015-07-30,0.004380828,0.002753073,0.000110138
2015-07-31,-0.00362493,-0.003462708,-0.002263973
2015-08-03,-0.003428969,-0.00805589,-0.002754248
2015-08-04,-0.002639206,-0.005803178,-0.002221324
2015-08-05,-0.002090692,0.00283001,0.003495475
2015-08-06,-0.005397746,-0.009252418,-0.007473027
2015-08-07,-0.000545297,-0.001344804,-0.002838702
2015-08-10,0.014822094,0.011442139,0.012831302
2015-08-11,-0.008632065,-0.006053087,-0.009373333
2015-08-12,-0.000792004,0.005619788,0.001180488
2015-08-13,-0.001466372,-0.004540517,-0.00112221
2015-08-14,0.005417965,0.0017035,0.003916615
2015-08-17,0.0046657,0.005166617,0.005399468
2015-08-18,0.000165634,-0.003770767,-0.00243646
2015-08-19,-0.011137096,-0.005251084,-0.008191074
2015-08-20,-0.023664418,-0.017520923,-0.021095253
2015-08-21,-0.0272129,-0.01851832,-0.031694542
2015-08-24,-0.042924732,-0.043635313,-0.039385561
2015-08-25,-0.013675873,-0.023621343,-0.013511167
2015-08-26,0.032056227,0.027372339,0.039114738
2015-08-27,0.022217834,0.024656559,0.024403385
2015-08-28,0.001924855,0.004927676,0.000731985
2015-08-31,-0.005720796,-0.009821692,-0.008276217
2015-09-01,-0.032477315,-0.02719067,-0.029529468
2015-09-02,0.017631823,0.015546911,0.018465089
2015-09-03,0.004369493,0.004955734,0.001218821
2015-09-04,-0.01601748,-0.018143399,-0.015251224
2015-09-08,0.023958252,0.023801503,0.025203159
2015-09-09,-0.013237283,-0.015839045,-0.013813393
2015-09-10,0.008502374,0.002395671,0.005362094
2015-09-11,0.005946823,0.005739077,0.004798491
2015-09-14,-0.004584342,-0.006830311,-0.004026304
2015-09-15,0.011310437,0.012198967,0.012844219
2015-09-16,0.003624489,0.00814643,0.008744436
2015-09-17,-0.010683387,0.001330273,-0.002395067
2015-09-18,-0.015213035,-0.011558636,-0.01615415
2015-09-21,0.009557664,0.004175531,0.004575445
2015-09-22,-0.011710362,-0.010603238,-0.012293333
2015-09-23,0.002639248,0.000923536,-0.001996843
2015-09-24,-0.002854834,-0.002554808,-0.003363406
2015-09-25,0.007231932,0.000899154,-0.000462219
2015-09-28,-0.026233638,-0.017535987,-0.025378095
2015-09-29,-0.003082103,0.00220734,0.001291942
2015-09-30,0.021897034,0.017573826,0.019137172
2015-10-01,0.004116034,-0.003844537,0.002044721
2015-10-02,0.001566446,0.010915519,0.014415215
2015-10-05,0.022829169,0.019743099,0.018343694
2015-10-06,-0.010421023,-0.001753891,-0.003593453
2015-10-07,0.012480813,0.008208869,0.00842673
2015-10-08,0.006058533,0.014777521,0.008822199
2015-10-09,0.00411796,0.000640973,0.000758118
2015-10-12,0.005797403,-0.001388773,0.001272353
2015-10-13,-0.01101187,-0.006851418,-0.006726643
2015-10-14,-0.00929918,-0.001251475,-0.004658735
2015-10-15,0.012269469,0.006065001,0.014906591
2015-10-16,0.002181406,-0.000774466,0.004569314
2015-10-19,-0.002897834,-0.002788887,0.000285439
2015-10-20,0.004068927,0.000743151,-0.001395083
2015-10-21,-0.005425169,-8.28494E-05,-0.005696611
2015-10-22,0.018210668,0.022230705,0.016652874
2015-10-23,0.003768447,0.001607869,0.011035234
2015-10-26,-0.004463586,-0.00901157,-0.001905428
2015-10-27,-0.004978452,-0.011425292,-0.002552337
2015-10-28,0.01375138,0.010410972,0.011933584
2015-10-29,0.002934527,-0.005861183,-0.000334075
2015-10-30,-0.003391091,-7.01502E-05,-0.004809719
2015-11-02,0.013098186,0.021079047,0.011874472
2015-11-03,0.005389758,0.009780382,0.002744237
